petName,enemyId,templateId,earth,water,fire,wind,initNum,lvupPointSource,baseVital,baseStr,baseTough,baseDex,poisonResist,paralysisResist,sleepResist,stoneResist,drunkResist,confusionResist,critical,counter,lvMin,lvMax,hpMin,hpMax,attackMin,attackMax,defenseMin,defenseMax,agilityMin,agilityMax,skill1,skill2,skill3,skill4,skill5,skill6,skill7,limitLevel,imageId
宠物名,敌人ID,模板ID,地属性,水属性,火属性,风属性,初始系数,原始成长点,基础体力,基础腕力,基础耐力,基础速度,毒抗性,麻痹抗性,睡眠抗性,石化抗性,酒醉抗性,混乱抗性,暴击字段,反击字段,最低等级,最高等级,HP下限,HP上限,攻击下限,攻击上限,防御下限,防御上限,敏捷下限,敏捷上限,技能1,技能2,技能3,技能4,技能5,技能6,技能7,等级限制,形象ID
HF机暴(专属),21047,21047,0,0,10,90,35,4.5,43,40,31,54,30,30,30,30,30,30,6,1,1,1,102,122,16,21,14,19,18,23,1,2,-1,-1,-1,-1,-1,-1,126000
VIP2D红虎,21040,21040,0,0,80,20,35,6,42,40,30,46,30,30,30,30,30,30,6,1,1,1,98,118,16,21,13,18,15,20,1,2,-1,-1,-1,-1,-1,-1,130031
VIP2D金虎,21033,21033,20,0,0,80,35,6,42,40,30,46,30,30,30,30,30,30,6,1,1,1,98,118,16,21,13,18,15,20,1,2,-1,-1,-1,-1,-1,-1,130032
VIP艾迪希洛,21048,21048,70,30,0,0,42,6,32,47,20,55,0,0,0,0,0,0,7,3,1,1,103,127,22,28,12,18,22,28,1,2,542,1059,1073,1075,1047,-1,101423
VIP奥卡帕斯,21015,21015,100,0,0,0,36,6,30,43,18,52,0,0,0,0,0,0,5,5,1,1,82,103,17,22,9,14,18,23,1,2,40,80,-1,-1,-1,-1,120070
VIP巴朵兰恩,20010,20010,0,20,80,0,35,4.5,30,48,31,34,30,30,30,30,30,30,3,5,1,1,80,100,18,23,13,18,11,16,1,2,-1,-1,-1,-1,-1,-1,100373
VIP斑尼迪克,21014,21014,0,0,0,100,36,6,26,43,18,52,0,0,0,0,0,0,2,2,1,1,76,97,17,22,9,14,18,23,1,2,655,21,-1,-1,-1,-1,100907
VIP斑尼左迪斯,21009,21009,0,100,0,0,36,6,36,44,30,40,30,30,30,30,30,30,6,5,1,1,91,112,18,23,13,18,13,18,1,2,-1,-1,-1,-1,-1,-1,120079
VIP邦恩多斯,20009,20009,0,0,20,80,36,4.5,49,46,47,16,30,30,30,30,30,30,5,2,1,1,108,129,19,24,19,25,5,10,1,2,-1,-1,-1,-1,-1,-1,100396
